Year,Canton,Population on 31 December
2016,Zürich,1487969
2016,Bern / Berne,1026513
2016,Luzern,403397
2016,Uri,36145
2016,Schwyz,155863
2016,Obwalden,37378
2016,Nidwalden,42556
2016,Glarus,40147
2016,Zug,123948
2016,Fribourg / Freiburg,311914
2016,Solothurn,269441
2016,Basel-Stadt,193070
2016,Basel-Landschaft,285624
2016,Schaffhausen,80769
2016,Appenzell Ausserrhoden,54954
2016,Appenzell Innerrhoden,16003
2016,St. Gallen,502552
2016,Graubünden / Grigioni / Grischun,197550
2016,Aargau,663462
2016,Thurgau,270709
2016,Ticino,354375
2016,Vaud,784822
2016,Valais / Wallis,339176
2016,Neuchâtel,178567
2016,Genève,489524
2016,Jura,73122
2017,Zürich,1504346
2017,Bern / Berne,1031126
2017,Luzern,406506
2017,Uri,36299
2017,Schwyz,157301
2017,Obwalden,37575
2017,Nidwalden,42969
2017,Glarus,40349
2017,Zug,125421
2017,Fribourg / Freiburg,315074
2017,Solothurn,271432
2017,Basel-Stadt,193908
2017,Basel-Landschaft,287023
2017,Schaffhausen,81351
2017,Appenzell Ausserrhoden,55178
2017,Appenzell Innerrhoden,16105
2017,St. Gallen,504686
2017,Graubünden / Grigioni / Grischun,197888
2017,Aargau,670988
2017,Thurgau,273801
2017,Ticino,353709
2017,Vaud,793129
2017,Valais / Wallis,341463
2017,Neuchâtel,177964
2017,Genève,495249
2017,Jura,73290
2018,Zürich,1520968
2018,Bern / Berne,1034977
2018,Luzern,409557
2018,Uri,36433
2018,Schwyz,159165
2018,Obwalden,37841
2018,Nidwalden,43223
2018,Glarus,40403
2018,Zug,126837
2018,Fribourg / Freiburg,318714
2018,Solothurn,273194
2018,Basel-Stadt,194766
2018,Basel-Landschaft,288132
2018,Schaffhausen,81991
2018,Appenzell Ausserrhoden,55234
2018,Appenzell Innerrhoden,16145
2018,St. Gallen,507697
2018,Graubünden / Grigioni / Grischun,198379
2018,Aargau,678207
2018,Thurgau,276472
2018,Ticino,353343
2018,Vaud,799145
2018,Valais / Wallis,343955
2018,Neuchâtel,176850
2018,Genève,499480
2018,Jura,73419
2019,Zürich,1539275
2019,Bern / Berne,1039474
2019,Luzern,413120
2019,Uri,36703
2019,Schwyz,160480
2019,Obwalden,37930
2019,Nidwalden,43087
2019,Glarus,40590
2019,Zug,127642
2019,Fribourg / Freiburg,321783
2019,Solothurn,275247
2019,Basel-Stadt,195844
2019,Basel-Landschaft,289468
2019,Schaffhausen,82348
2019,Appenzell Ausserrhoden,55445
2019,Appenzell Innerrhoden,16128
2019,St. Gallen,510734
2019,Graubünden / Grigioni / Grischun,199021
2019,Aargau,685845
2019,Thurgau,279547
2019,Ticino,351491
2019,Vaud,805098
2019,Valais / Wallis,345525
2019,Neuchâtel,176496
2019,Genève,504128
2019,Jura,73584
2020,Zürich,1553423
2020,Bern / Berne,1043132
2020,Luzern,416347
2020,Uri,36819
2020,Schwyz,162157
2020,Obwalden,38108
2020,Nidwalden,43520
2020,Glarus,40851
2020,Zug,128794
2020,Fribourg / Freiburg,325496
2020,Solothurn,277462
2020,Basel-Stadt,196735
2020,Basel-Landschaft,290969
2020,Schaffhausen,83107
2020,Appenzell Ausserrhoden,55309
2020,Appenzell Innerrhoden,16293
2020,St. Gallen,514504
2020,Graubünden / Grigioni / Grischun,200096
2020,Aargau,694072
2020,Thurgau,282909
2020,Ticino,350986
2020,Vaud,814762
2020,Valais / Wallis,348503
2020,Neuchâtel,175894
2020,Genève,506343
2020,Jura,73709
