Year,Canton,Population on 31 December
2011,Zürich,1392396
2011,Bern / Berne,985046
2011,Luzern,381966
2011,Uri,35382
2011,Schwyz,147904
2011,Obwalden,35885
2011,Nidwalden,41311
2011,Glarus,39217
2011,Zug,115104
2011,Fribourg / Freiburg,284668
2011,Solothurn,256990
2011,Basel-Stadt,186255
2011,Basel-Landschaft,275360
2011,Schaffhausen,77139
2011,Appenzell Ausserrhoden,53313
2011,Appenzell Innerrhoden,15743
2011,St. Gallen,483156
2011,Graubünden / Grigioni / Grischun,193388
2011,Aargau,618298
2011,Thurgau,251973
2011,Ticino,336943
2011,Vaud,725944
2011,Valais / Wallis,317022
2011,Neuchâtel,173183
2011,Genève,460534
2011,Jura,70542
2012,Zürich,1408575
2012,Bern / Berne,992617
2012,Luzern,386082
2012,Uri,35693
2012,Schwyz,149830
2012,Obwalden,36115
2012,Nidwalden,41584
2012,Glarus,39369
2012,Zug,116575
2012,Fribourg / Freiburg,291395
2012,Solothurn,259283
2012,Basel-Stadt,187425
2012,Basel-Landschaft,276537
2012,Schaffhausen,77955
2012,Appenzell Ausserrhoden,53438
2012,Appenzell Innerrhoden,15717
2012,St. Gallen,487060
2012,Graubünden / Grigioni / Grischun,193920
2012,Aargau,627340
2012,Thurgau,256213
2012,Ticino,341652
2012,Vaud,734356
2012,Valais / Wallis,321732
2012,Neuchâtel,174554
2012,Genève,463101
2012,Jura,70942
2013,Zürich,1425538
2013,Bern / Berne,1001281
2013,Luzern,390349
2013,Uri,35865
2013,Schwyz,151396
2013,Obwalden,36507
2013,Nidwalden,41888
2013,Glarus,39593
2013,Zug,118118
2013,Fribourg / Freiburg,297622
2013,Solothurn,261437
2013,Basel-Stadt,189335
2013,Basel-Landschaft,278656
2013,Schaffhausen,78783
2013,Appenzell Ausserrhoden,53691
2013,Appenzell Innerrhoden,15778
2013,St. Gallen,491699
2013,Graubünden / Grigioni / Grischun,194959
2013,Aargau,636362
2013,Thurgau,260278
2013,Ticino,346539
2013,Vaud,749373
2013,Valais / Wallis,327011
2013,Neuchâtel,176402
2013,Genève,469433
2013,Jura,71738
2014,Zürich,1446354
2014,Bern / Berne,1009418
2014,Luzern,394604
2014,Uri,36008
2014,Schwyz,152759
2014,Obwalden,36834
2014,Nidwalden,42080
2014,Glarus,39794
2014,Zug,120089
2014,Fribourg / Freiburg,303377
2014,Solothurn,263719
2014,Basel-Stadt,190580
2014,Basel-Landschaft,281301
2014,Schaffhausen,79417
2014,Appenzell Ausserrhoden,54064
2014,Appenzell Innerrhoden,15854
2014,St. Gallen,495824
2014,Graubünden / Grigioni / Grischun,195886
2014,Aargau,645277
2014,Thurgau,263733
2014,Ticino,350363
2014,Vaud,761446
2014,Valais / Wallis,331763
2014,Neuchâtel,177327
2014,Genève,477385
2014,Jura,72410
2015,Zürich,1466424
2015,Bern / Berne,1017483
2015,Luzern,398762
2015,Uri,35973
2015,Schwyz,154093
2015,Obwalden,37076
2015,Nidwalden,42420
2015,Glarus,40028
2015,Zug,122134
2015,Fribourg / Freiburg,307461
2015,Solothurn,266418
2015,Basel-Stadt,191817
2015,Basel-Landschaft,283231
2015,Schaffhausen,79836
2015,Appenzell Ausserrhoden,54543
2015,Appenzell Innerrhoden,15974
2015,St. Gallen,499065
2015,Graubünden / Grigioni / Grischun,196610
2015,Aargau,653675
2015,Thurgau,267429
2015,Ticino,351946
2015,Vaud,773407
2015,Valais / Wallis,335696
2015,Neuchâtel,178107
2015,Genève,484736
2015,Jura,72782
2016,Zürich,1487969
2016,Bern / Berne,1026513
2016,Luzern,403397
2016,Uri,36145
2016,Schwyz,155863
2016,Obwalden,37378
2016,Nidwalden,42556
2016,Glarus,40147
2016,Zug,123948
2016,Fribourg / Freiburg,311914
2016,Solothurn,269441
2016,Basel-Stadt,193070
2016,Basel-Landschaft,285624
2016,Schaffhausen,80769
2016,Appenzell Ausserrhoden,54954
2016,Appenzell Innerrhoden,16003
2016,St. Gallen,502552
2016,Graubünden / Grigioni / Grischun,197550
2016,Aargau,663462
2016,Thurgau,270709
2016,Ticino,354375
2016,Vaud,784822
2016,Valais / Wallis,339176
2016,Neuchâtel,178567
2016,Genève,489524
2016,Jura,73122
2017,Zürich,1504346
2017,Bern / Berne,1031126
2017,Luzern,406506
2017,Uri,36299
2017,Schwyz,157301
2017,Obwalden,37575
2017,Nidwalden,42969
2017,Glarus,40349
2017,Zug,125421
2017,Fribourg / Freiburg,315074
2017,Solothurn,271432
2017,Basel-Stadt,193908
2017,Basel-Landschaft,287023
2017,Schaffhausen,81351
2017,Appenzell Ausserrhoden,55178
2017,Appenzell Innerrhoden,16105
2017,St. Gallen,504686
2017,Graubünden / Grigioni / Grischun,197888
2017,Aargau,670988
2017,Thurgau,273801
2017,Ticino,353709
2017,Vaud,793129
2017,Valais / Wallis,341463
2017,Neuchâtel,177964
2017,Genève,495249
2017,Jura,73290
2018,Zürich,1520968
2018,Bern / Berne,1034977
2018,Luzern,409557
2018,Uri,36433
2018,Schwyz,159165
2018,Obwalden,37841
2018,Nidwalden,43223
2018,Glarus,40403
2018,Zug,126837
2018,Fribourg / Freiburg,318714
2018,Solothurn,273194
2018,Basel-Stadt,194766
2018,Basel-Landschaft,288132
2018,Schaffhausen,81991
2018,Appenzell Ausserrhoden,55234
